,,Fecal Coliform
,,(#/100 mL)
Site,Date,Top
SP2,2016-05-25 00:00:00,14
TB1,2016-05-25 00:00:00,17
TB2,2016-05-25 00:00:00,6
F1,2016-05-24 00:00:00,390
F5,2016-05-24 00:00:00,720
G2,2016-05-24 00:00:00,3
HC1,2016-05-24 00:00:00,27
HC2,2016-05-24 00:00:00,10
HC3,2016-05-24 00:00:00,10
J14,2016-05-24 00:00:00,31
J16,2016-05-24 00:00:00,4
K1,2016-05-24 00:00:00,4
K2,2016-05-24 00:00:00,3
K3,2016-05-24 00:00:00,6
K4,2016-05-24 00:00:00,17
K5,2016-05-24 00:00:00,3
K5A,2016-05-24 00:00:00,11
K6,2016-05-24 00:00:00,4
N6,2016-05-24 00:00:00,4
N7,2016-05-24 00:00:00,2
N8,2016-05-24 00:00:00,2
NC0,2016-05-24 00:00:00,117
NC1,2016-05-24 00:00:00,81
NC2,2016-05-24 00:00:00,63
NC3,2016-05-24 00:00:00,9
BR5,2016-05-23 00:00:00,NS
E10,2016-05-23 00:00:00,1
E11,2016-05-23 00:00:00,1
E14,2016-05-23 00:00:00,NS
E15,2016-05-23 00:00:00,NS
E2,2016-05-23 00:00:00,3
E4,2016-05-23 00:00:00,NS
E6,2016-05-23 00:00:00,4
E7,2016-05-23 00:00:00,1
E8,2016-05-23 00:00:00,1
FB1,2016-05-23 00:00:00,NS
FLC1,2016-05-23 00:00:00,NS
FLC2,2016-05-23 00:00:00,NS
H3,2016-05-23 00:00:00,NS
LN1,2016-05-23 00:00:00,2
N1,2016-05-23 00:00:00,NS
N3B,2016-05-23 00:00:00,NS
N4,2016-05-23 00:00:00,NS
N5,2016-05-23 00:00:00,NS
NR1,2016-05-23 00:00:00,NS
AC1,2016-05-19 00:00:00,73
AC2,2016-05-19 00:00:00,57
BR1,2016-05-19 00:00:00,400
BR3,2016-05-19 00:00:00,34
F1,2016-05-19 00:00:00,290
F5,2016-05-19 00:00:00,152
HC1,2016-05-19 00:00:00,74
HC2,2016-05-19 00:00:00,12
HC3,2016-05-19 00:00:00,40
J14,2016-05-19 00:00:00,1
J16,2016-05-19 00:00:00,2
BB2,2016-05-18 00:00:00,99
BB4,2016-05-18 00:00:00,36
CIC2,2016-05-18 00:00:00,4300
CIC3,2016-05-18 00:00:00,2500
GB1,2016-05-18 00:00:00,72
GC3,2016-05-18 00:00:00,4
GC4,2016-05-18 00:00:00,23
GC5,2016-05-18 00:00:00,15
GC6,2016-05-18 00:00:00,46
J1,2016-05-18 00:00:00,1
J10,2016-05-18 00:00:00,1
J11,2016-05-18 00:00:00,1
J12,2016-05-18 00:00:00,1
J2,2016-05-18 00:00:00,1
J3,2016-05-18 00:00:00,8
J5,2016-05-18 00:00:00,2
J7,2016-05-18 00:00:00,4
J8,2016-05-18 00:00:00,6
J9A,2016-05-18 00:00:00,9
JA1,2016-05-18 00:00:00,4
N16,2016-05-18 00:00:00,1
N9,2016-05-18 00:00:00,4
N9A,2016-05-18 00:00:00,1
PB2,2016-05-18 00:00:00,8
PB3,2016-05-18 00:00:00,13
SP1,2016-05-18 00:00:00,9
SP2,2016-05-18 00:00:00,4
TB1,2016-05-18 00:00:00,10
TB2,2016-05-18 00:00:00,10
E12,2016-05-17 00:00:00,6
E13,2016-05-17 00:00:00,1
G2,2016-05-17 00:00:00,12
HR03,2016-05-17 00:00:00,164
HR1,2016-05-17 00:00:00,31
HR2,2016-05-17 00:00:00,239
K1,2016-05-17 00:00:00,2
K2,2016-05-17 00:00:00,2
K3,2016-05-17 00:00:00,2
K4,2016-05-17 00:00:00,2
K5,2016-05-17 00:00:00,1
K5A,2016-05-17 00:00:00,5
K6,2016-05-17 00:00:00,3
N6,2016-05-17 00:00:00,10
N7,2016-05-17 00:00:00,4
N8,2016-05-17 00:00:00,4
NC0,2016-05-17 00:00:00,53
NC1,2016-05-17 00:00:00,120
NC2,2016-05-17 00:00:00,19
NC3,2016-05-17 00:00:00,8
WC1,2016-05-17 00:00:00,212
WC2,2016-05-17 00:00:00,600
WC3,2016-05-17 00:00:00,5
BR5,2016-05-16 00:00:00,10
E10,2016-05-16 00:00:00,1
E11,2016-05-16 00:00:00,1
E14,2016-05-16 00:00:00,2
E15,2016-05-16 00:00:00,6
E2,2016-05-16 00:00:00,9
E4,2016-05-16 00:00:00,5
E6,2016-05-16 00:00:00,1
E7,2016-05-16 00:00:00,1
E8,2016-05-16 00:00:00,1
FB1,2016-05-16 00:00:00,69
FLC1,2016-05-16 00:00:00,660
FLC2,2016-05-16 00:00:00,950
H3,2016-05-16 00:00:00,28
LN1,2016-05-16 00:00:00,4
N1,2016-05-16 00:00:00,9
N3B,2016-05-16 00:00:00,17
N4,2016-05-16 00:00:00,20
N5,2016-05-16 00:00:00,14
NR1,2016-05-16 00:00:00,20
AC1,2016-05-12 00:00:00,148
AC2,2016-05-12 00:00:00,61
BR1,2016-05-12 00:00:00,208
BR3,2016-05-12 00:00:00,156
E12,2016-05-12 00:00:00,3
E13,2016-05-12 00:00:00,6
HR03,2016-05-12 00:00:00,17
HR1,2016-05-12 00:00:00,80
HR2,2016-05-12 00:00:00,67
WC1,2016-05-12 00:00:00,82
WC2,2016-05-12 00:00:00,70
WC3,2016-05-12 00:00:00,40
CIC2,2016-05-11 00:00:00,570
GC3,2016-05-11 00:00:00,11
GC4,2016-05-11 00:00:00,4
GC5,2016-05-11 00:00:00,4
GC6,2016-05-11 00:00:00,4
SP1,2016-05-11 00:00:00,2
F1,2016-05-10 00:00:00,64
F5,2016-05-10 00:00:00,34
HC1,2016-05-10 00:00:00,38
HC2,2016-05-10 00:00:00,20
HC3,2016-05-10 00:00:00,20
J14,2016-05-10 00:00:00,11
J16,2016-05-10 00:00:00,2
NC0,2016-05-10 00:00:00,108
NC1,2016-05-10 00:00:00,61
NC2,2016-05-10 00:00:00,8
NC3,2016-05-10 00:00:00,3
GC3,2016-04-28 00:00:00,19
GC4,2016-04-28 00:00:00,11
GC5,2016-04-28 00:00:00,15
GC6,2016-04-28 00:00:00,27
